Date,Time,Artist(s),Instruments/Details,Venue,Source
2025-12-31,18:15,Sahana Balu,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2025-12-31,19:30,Padmini Krishnamurthy,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-01,17:00,Vatsalya Narayan,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-01,18:15,Shilpa Sethuraman,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-01,19:30,Poornashri Srivathsan,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-02,17:00,Roshni Muthuswamy,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-02,18:15,Poorna Bhat,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-02,19:30,Bala Devi Chandrashekar,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-03,17:00,"Anika Chebrolu, Anjani Chebrolu, Sahana Koushik",,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-03,18:15,Anusha Kumar,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-03,19:30,Natyanjali School of Dance,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-04,17:00,"Keertana Murali, Vandhana Sarma",,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-04,18:15,Rukshikaa Elankumaran,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-04,19:30,"Balagurunathan, Aparna Sharma, Hamsa, Mayura Chandramouleeswaran",,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-05,17:00,"Pooja Sugam, Samiksha KM",,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-05,18:15,Deepthi Ravichandran,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-05,19:30,Anuratha Swaminathan,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-06,17:00,R. Sudar Mathi,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-06,18:15,Smt. Aarthi Narain,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-06,19:30,"Swamimalai Suresh, Durga Suresh & Mahathi Suresh",,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-07,17:00,Kavya Ramaswamy,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-07,18:15,Preethi Anand,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-07,19:30,"Ranjana Vinodkumar, Sri Kalakshi School of Dance",,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-08,17:00,Meera Ratnagiri,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-08,18:15,Ashwini Sam Paul Viswanathan,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-08,19:30,"Jai Kishore Mosalikanti, Vani Mosalikanti, Sammohana Mosalikanti",,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-09,17:00,Meghna Satishkumar,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-09,18:15,"Ananya Arora, Ahana Arora",,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-09,19:30,Dr. Anupama Kylash,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-10,17:00,Akshara Balaji,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-10,18:15,Aishwarya Ananth Karthik,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-10,19:30,Gopika Varma,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-11,17:00,Aishwarya Iyer,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-11,18:15,Gayatri Subramanian,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-11,19:30,Renuka Srinivasan,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-12,17:00,Kavya Ramesh,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-12,18:15,Harshini R,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-12,19:30,Girija Chandran,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-13,17:00,Vaishalee,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-13,18:15,Priyamvadha Krishnakumar,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-13,19:30,"H N Nandhini Suresh, Sri Sai Nrithyalaya",,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-14,17:00,Sruthika P Nair,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-14,18:15,D Soumya Sarojini,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-14,19:30,Thiruveezhimizhalai Dr.Kanaka Krishna Prashanth,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-15,17:00,Keerthana Subramanian,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-15,18:15,Sharamada Vishwanath,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-15,19:30,Naatya Padhmam Parvathi Ravi Ghantasala,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-16,17:00,Nivedita Raghavan,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-16,18:15,Anand Sachidanandan,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-16,19:30,"Saikripa Prasanna, Kripa's centre for Fine Arts",,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-17,17:00,Trinethra Mahesh,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-17,18:15,Sumithra Subramaniam,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-17,19:30,Divya Sena,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-18,17:00,Lekshmi Reghunath,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-18,18:15,KR Mahalakshmi,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-18,19:30,Lakshmi Priya Raja,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-19,17:00,Tejasshri Vivek,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-19,18:15,Bhairavi Venkatesan,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-19,19:30,Divya Ravi,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-20,17:00,Sadhwi Vijayakumar,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-20,18:15,Avijit Das,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-20,19:30,Priya Murle,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-21,17:00,N.RM. Abirami,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-21,18:15,Dvijavanthi Bharath,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-21,19:30,Roja Kannan,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-22,17:00,M.Gayathri,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-22,18:15,Vidyalakshmi Vidyanath,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-22,19:30,Naatya Padhmam Srekala Bharath,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-23,17:00,Lalitha Narasimhan,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-23,18:15,Neha Sathanapalli,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-23,19:30,Dr.S.Ramaratnam & Gayatri Ramaratnam,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-24,17:00,S Sanjna,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-24,18:15,"Ragini Iyer, Rakshita Raghunathan",,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-24,19:30,Shruthi Shoby,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-25,17:00,N.Krithika & Madhumitaa Prabhakaran,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-25,18:15,Amrutha Soundarya T M,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2026-01-25,19:30,Dr Himaja Athul Kumar,,TAG DAKSHINAMURTHY HALL MYLAPORE,BGS8912-2
2025-12-15,16:00,"Tiruvannamalai P. Balaganesan, Tiruvannamalai B. Bagesri, Tiruvannamalai B. Kanimozhi",Nagaswaram Trio; Tiruneermalai B. Mani (Thavil); Eguvarpalayam E. V. Ganapathy (Thavil),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-15,17:00,Inauguration Function,Chief Guest: A.R. Rahman; Presided by Dr. N. Rajam,"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-15,19:00,Nadaarmava Ensemble (Conducted by K. Arun Prakash),"K. Arun Prakash (Mridangam & Konnakol); Mylai M. Karthikeyan (Nagaswaram); Sujith S. Naik (Flute); Vishaal R. Sapuram (Chitraveena); Charulatha Chandrasekar (Veena); Violins: Sandeep Ramachandran, N. Madan Mohan, Sruthi Sarathy, Sayee Rakshith; Vocals: Vignesh Krishnamurthy, Dhanush Anantharaman, Nanditha Kannan, Shakthi Muralidaran; V. Anirudh Athreya (Kanjira); N. Guruprasad (Ghatam); Sai Subramaniam (Morsing)","T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-16,09:00,"Thirumeignanam T.P.N. Ramanathan, Pandamangalam P. G. Yuvaraj",Nagaswaram; Thanjavur T. R. Govindarajan (Thavil); Udumalpet V. Manigandan (Thavil),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-16,11:45,Abhishek Ravishankar,Vocal; Bhargav Tumkur (Violin); Sriram Srinivasan (Mridangam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-16,13:30,S. Adithyanarayanan,Vocal; V. S. Gokul (Violin); L. Sudarsan Srinivas (Mridangam); Sunaad Anoor (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-16,16:00,Kalyanapuram S. Aravind,Vocal; Akkarai S. Sornalatha (Violin); R. Akshay Ram (Mridangam); Srinidhi R. Koundinya (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-16,18:45,J. B. Sruthi Sagar,Flute; B. Ananthakrishnan (Violin); K. V. Prasad (Mridangam); Trichy Dr. K. Murali (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-17,09:00,Dr. Gayathri Girish,Vocal; Dr. M. Narmadha (Violin); Poongulam S. Subramanian (Mridangam); M. Gururaj (Morsing),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-17,11:45,Siddharth Prakash,Vocal; Palakkad G. Kailasapathy (Violin); Aswini Srinivasan (Mridangam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-17,13:30,Vani Ramamurthi,Vocal; Shreya Devnath (Violin); Karthick Ganeshraman (Mridangam); Bharadwaj R. Sathavalli (Morsing),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-17,16:00,Nisha Rajagopalan,Vocal; Dr. Nishanth Chandran (Violin); Trivandrum V. Balaji (Mridangam); S. Shri Sainath (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-17,18:45,Amritha Murali,Vocal; R. K. Shriramkumar (Violin); N. Manoj Siva (Mridangam); C. P. Vyasavittala (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-18,09:00,Trivandrum Dr. G. Baby Sreeram,Vocal; Aditi Krishnaprakash (Violin); S. V. Ramani (Mridangam); R. Raman (Morsing),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-18,11:45,V. Krupaa Lakshmi,Vocal; Shiva Ramamurthi (Violin); S. Vignesh (Mridangam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-18,13:30,R. Lakshmipriya,Vocal; M. P. Krithik Koushik (Violin); K. P. Arjun Sundaram (Mridangam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-18,16:00,Ramana Balachandhran,Veena; Anantha R. Krishnan (Mridangam); Dr. Suresh Vaidyanathan (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-18,18:45,R. Ashwath Narayanan,Vocal; B. U. Ganesh Prasad (Violin); Sangita Kalanidhi Umayalpuram K. Sivaraman (Mridangam); B. S. Purushotham (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-19,09:00,Dr. Subhashini Parthasarathy,Vocal; Dr. Usha Rajagopalan (Violin); Kumbakonam K. Swaminathan (Mridangam); Sukanya Ramgopal (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-19,11:45,B. J. Madhuri Kaushik,Vocal; Haritha Narayanan (Violin); S. Kavichelvan (Mridangam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-19,13:30,Dr. N. Jayakrishnan Unni,Vocal; Visvesh Chandrasekar (Violin); S. Karthick Narayanan (Mridangam); S. Hari Kishore (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-19,16:00,Madurai T.N.S. Krishna,Vocal; Dr. H. K. Venkatram (Violin); Trichy B. Harikumar (Mridangam); Dr. S. Karthick (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-19,18:45,J.A. Jayant,Flute; H. M. Smitha (Violin); N. C. Bharadwaj (Mridangam); N. Guruprasad (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-20,09:00,Rithvik Raja,Vocal; Sruthi Sarathy (Violin); K. Arun Prakash (Mridangam); Madipakkam A. Murali (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-20,11:45,Charulatha Chandrasekar,Veena; Sarvesh Karthick (Mridangam); Murali Varadharajan (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-20,13:30,Archana & Aarathi,Vocal; Nagercoil K. Anand (Violin); T. Nikshith (Mridangam); Kurichithanam Ananthakrishnan (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-20,16:00,Aishwarya Vidhya Raghunath,Vocal; Dr. R. Hemalatha (Violin); B. C. Manjunath (Mridangam); Bhagyalakshmi M. Krishna (Morsing),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-20,18:45,Sangita Kalanidhi Lalgudi G.J.R. Krishnan & Sangita Kalanidhi Lalgudi Vijayalakshmi,Violin Duet; Trichy B. Harikumar (Mridangam); K. V. Gopalakrishnan (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-21,09:00,K. Bhaskaran,Flute; B. K. Raghu (Violin); Mannarkoil J. Balaji (Mridangam); Adambakkam K. Sankar (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-21,11:45,Deepthi Suresh,Vocal; Rishabh Ranganathan (Violin); R. Aravind Srikanth (Mridangam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-21,13:30,Akshay Padmanabhan,Vocal; Sandeep Ramachandran (Violin); S. Gomathishankar (Mridangam); G. Gopinath (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-21,16:00,Pantula Rama,Vocal; M.S.N. Murthy (Violin); V. V. Ramanamurthy (Mridangam); Nerkunam Dr. S. Sankar (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-21,18:45,Gayathri Venkataraghavan,Vocal; Mysore V. Srikanth (Violin); R. Sankaranarayanan (Mridangam); Udupi S. Srikanth (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-22,09:00,Shertallay Dr. K. N. Ranganatha Sharma,Vocal; M. A. Sundareswaran (Violin); Palladam R. Ravi (Mridangam); Tirunakkara K. R. Rethish (Morsing),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-22,11:45,Sushma Somasekharan,Vocal; Sreelakshmi S. Bhat (Violin); Ambur U. Padmanabhan (Mridangam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-22,13:30,J. B. Keerthana,Vocal; Delhi R. Sridhar (Violin); S. Nagaraj (Mridangam); Vishnu Kammath (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-22,16:00,K. Gayatri,Vocal; Vittal Rangan (Violin); J. Vaidhyanathan (Mridangam); V. Sai Subramaniam (Morsing),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-22,18:45,Sangita Kalanidhi Dr. S. Sowmya,Vocal; Embar S. Kannan (Violin); Neyveli R. Narayanan (Mridangam); Udupi S. Sreedhar (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-23,09:00,Vishaal R. Sapuram,Chitraveena; M. Vijay (Violin); Chidambaram S. Balashankar (Mridangam); Trivandrum D. Rajagopal (Kanjira); Bangalore B. Rajasekar (Morsing),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-23,11:45,C. S. Keshava Chandra,Flute; S. Subhashree (Violin); Sunaada Krishna Amai (Mridangam); Shamith S. Gowda (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-23,13:30,Anirudh Venkatesh,Vocal; Chidambaram G. Badrinath (Violin); R. Ramkumar (Mridangam); G. Venkatesh (Morsing),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-23,16:00,Vidya Kalyanaraman,Vocal; R. Raghul (Violin); B. Ganapathyraman (Mridangam); Trivandrum R. Rajesh (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-23,18:45,Sandeep Narayan,Vocal; H. N. Bhaskar (Violin); K. Sai Giridhar (Mridangam); Tripoonithura Radhakrishnan (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-24,09:00,A. S. Murali,Vocal; Nagai R. Muralidharan (Violin); Trichur C. Narendran (Mridangam); N. Rajaraman (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-24,11:45,Kruthi Bhat,Vocal; N. Madan Mohan (Violin); Aduthurai G. Guruprasadh (Mridangam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-24,13:30,V. Venkatanagarajan,Vocal; Vignesh Thyagarajan (Violin); Tippirajapuram Hari (Mridangam); Manjesh Mohanan (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-24,16:00,Sriranjani Santhanagopalan,Vocal; Charulatha Ramanujam (Violin); Vijay B. Natesan (Mridangam); Alathur T. Rajaganesh (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-24,18:45,Akkarai Sisters - S. Subhalakshmi & S. Sornalatha,Violin Duet; Delhi S. Sairam (Mridangam); B. Shree Sundarkumar (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-25,09:00,Sangita Kalanidhi T. M. Krishna,Vocal; Akkarai S. Subhalakshmi (Violin); B. Sivaraman (Mridangam); V. Chandrasekhara Sharma (Ghatam); V. Anirudh Athreya (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-25,11:45,S. Srivathsan,Vocal; V. Deepika (Violin); Deepikaa Sreenivasan (Mridangam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-25,13:30,Vasudha Ravi,Vocal; Sindhu Suchetan (Violin); Tirucherai R. Kaushik Rajagopal (Mridangam); G. Ganapathy (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-25,16:00,K. Bharat Sundar,Vocal; M. Rajeev (Violin); Patri Satishkumar (Mridangam); N. Guruprasad (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-25,18:45,Ramakrishnan Murthy,Vocal; B. Vittal Rangan (Violin); N. C. Bharadwaj (Mridangam); S. Sunil Kumar (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-26,09:00,Nirmala Rajasekar,Veena; Kumbakonam M. R. Gopinath (Violin); Karukurichi N. Mohanram (Mridangam); S. Hariharasubramanian (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-26,11:45,Shruthi Shankar Kumar,Vocal; Aniruddha Bharadwaj (Violin); Srikar Chittari (Mridangam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-26,13:30,Anahita & Apoorva,Vocal; K. V. Krishna (Violin); Gopal Ravindharan (Mridangam); Anil Parashara (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-26,16:00,Malladi Brothers - Sreeramaprasad & Dr. Ravikumar,Vocal; L. Ramakrishnan (Violin); Sangita Kalanidhi Trichy Sankaran (Mridangam); Dr. Chandrasekhara Sharma (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-26,18:45,Dr. Jayanthi Kumaresh,Veena; K. U. Jayachandra Rao (Mridangam); Trichy S. Krishnaswamy (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-27,09:00,T. S. Pattabhirama Pandit,Vocal; T.K.V. Ramanujacharlu (Violin); H. S. Sudhindra (Mridangam); H. Sivaramakrishnan (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-27,11:45,Abilash Giriprasad,Vocal; V. Sri Purna Gayatri Sivani (Violin); Rohith Ashok (Mridangam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-27,13:30,Sunil R. Gargyan,Vocal; Pappu Gyandev (Violin); B. S. Prashanth (Mridangam); Karthick Krishnaswamy (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-27,16:00,Sangita Kalanidhi Sanjay Subrahmanyan,Vocal; S. Varadarajan (Violin); Neyveli B. Venkatesh (Mridangam); V. Anirudh Athreya (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-27,18:45,Amrutha Venkatesh,Vocal; Bombay R. Madhavan (Violin); S. J. Arjun Ganesh (Mridangam); Payyanur T. Govindaprasad (Morsing),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-28,09:00,Dr. R. Suryaprakash,Vocal; Delhi P. Sunderrajan (Violin); Melakaveri K. Balaji (Mridangam); Manjoor Unnikrishnan (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-28,11:45,R. Sai Vignesh,Vocal; Gayatri Vibhavari Vyakaranam (Violin); J. P. Suriya Nambisan (Mridangam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-28,13:30,Aishwarya Shankar,Vocal; Shradda Ravindran (Violin); L. Subramanian (Mridangam); P. Giridara Prasad (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-28,16:00,Sangita Kalanidhi Sudha Ragunathan,Vocal; Embar S. Kannan (Violin); Sumesh S. Narayanan (Mridangam); Krishna Sriram (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-28,18:45,Vignesh Ishwar,Vocal; Trivandrum Dr. N. Sampath (Violin); Praveen Sparsh (Mridangam); U. N. Giridhar Udupa (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-29,09:00,Delhi V. Muthukumar,Vocal; V. V. Ravi (Violin); Shertalai R. Ananthakrishnan (Mridangam); A. S. Krishnan (Morsing),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-29,11:45,Ashwin Anand,Veena; B. Sai Shankar (Mridangam); Sumana Chandrashekar (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-29,13:30,Vivek Sadasivam,Vocal; Sayee Rakshith (Violin); Kishore Ramesh (Mridangam); Dr. Ravi Balasubramanian (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-29,16:00,Kunnakudi M. Balamuralikrishna,Vocal; H. N. Bhaskar (Violin); Sangita Kalanidhi Trichy Sankaran (Mridangam); K. V. Gopalakrishnan (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-29,18:45,Abhishek Raghuram,Vocal; Kamalakiran Vinjumuri (Violin); Sumesh S. Narayanan (Mridangam); Vazhappally R. Krishnakumar (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-30,09:00,Sankari Krishnan,Vocal; Vaikom Padma Krishnan (Violin); Nanjil A. R. Arul (Mridangam); Srirangam S. Ravikrishnan (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-30,11:45,R. P. Shravan,Vocal; M. Keshav (Violin); Sanjay Subramanian (Mridangam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-30,13:30,Kolkata Padmavathi Saranathan,Vocal; Shivkumar Anantharaman (Violin); V. S. Raghavan (Mridangam); Somnath Roy (Ghatam),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-30,16:00,K. S. Vishnudev,Vocal; Parur M. S. Ananthakrishnan (Violin); Sangita Kalanidhi Umayalpuram K. Sivaraman (Mridangam); G. Guruprasanna (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
2025-12-30,18:45,Sangita Kalanidhi A. Kanyakumari & L. Ramakrishnan,Violin Duet; Patri Satishkumar (Mridangam); N. Amrit (Kanjira),"T.T. Krishnamachari Auditorium, The Music Academy Madras",MUSICACAD9381
